dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
3.156205522978e+02,1.424734116474e+03,1.038971820699e+03,4.360401222684e+02,2.594054692349e+02,1.440953792619e+02,8.430391874885e+01
3.236060962661e+02,1.424737257427e+03,1.038984000450e+03,4.360491176828e+02,2.594111398598e+02,1.440985963487e+02,8.430581246026e+01
3.317936832002e+02,1.424740477561e+03,1.038996487603e+03,4.360583403805e+02,2.594169537838e+02,1.441018947374e+02,8.430775403011e+01
3.401884250074e+02,1.424743778865e+03,1.039009289899e+03,4.360677960963e+02,2.594229146236e+02,1.441052764801e+02,8.430974466648e+01
3.487955629318e+02,1.424747163376e+03,1.039022415268e+03,4.360774907091e+02,2.594290260870e+02,1.441087436807e+02,8.431178560787e+01
3.576204708266e+02,1.424750633184e+03,1.039035871843e+03,4.360874302457e+02,2.594352919751e+02,1.441122984961e+02,8.431387812397e+01
3.666686585094e+02,1.424754190430e+03,1.039049667959e+03,4.360976208845e+02,2.594417161847e+02,1.441159431374e+02,8.431602351645e+01
3.759457752023e+02,1.424757837307e+03,1.039063812159e+03,4.361080689593e+02,2.594483027105e+02,1.441196798715e+02,8.431822311972e+01
3.854576130586e+02,1.424761576065e+03,1.039078313200e+03,4.361187809631e+02,2.594550556481e+02,1.441235110223e+02,8.432047830181e+01
3.952101107796e+02,1.424765409009e+03,1.039093180059e+03,4.361297635523e+02,2.594619791957e+02,1.441274389720e+02,8.432279046515e+01
4.052093573222e+02,1.424769338501e+03,1.039108421935e+03,4.361410235503e+02,2.594690776575e+02,1.441314661631e+02,8.432516104748e+01
4.154615957005e+02,1.424773366961e+03,1.039124048260e+03,4.361525679523e+02,2.594763554455e+02,1.441355950992e+02,8.432759152270e+01
4.259732268838e+02,1.424777496871e+03,1.039140068700e+03,4.361644039292e+02,2.594838170832e+02,1.441398283472e+02,8.433008340182e+01
4.367508137926e+02,1.424781730773e+03,1.039156493163e+03,4.361765388320e+02,2.594914672073e+02,1.441441685382e+02,8.433263823381e+01
4.478010853967e+02,1.424786071272e+03,1.039173331803e+03,4.361889801964e+02,2.594993105715e+02,1.441486183697e+02,8.433525760663e+01
4.591309409161e+02,1.424790521039e+03,1.039190595031e+03,4.362017357473e+02,2.595073520488e+02,1.441531806071e+02,8.433794314816e+01
4.707474541285e+02,1.424795082811e+03,1.039208293513e+03,4.362148134036e+02,2.595155966346e+02,1.441578580851e+02,8.434069652722e+01
4.826578777861e+02,1.424799759391e+03,1.039226438184e+03,4.362282212831e+02,2.595240494499e+02,1.441626537098e+02,8.434351945456e+01
4.948696481434e+02,1.424804553653e+03,1.039245040253e+03,4.362419677072e+02,2.595327157444e+02,1.441675704602e+02,8.434641368395e+01
5.073903896003e+02,1.424809468542e+03,1.039264111205e+03,4.362560612063e+02,2.595416008995e+02,1.441726113903e+02,8.434938101320e+01
5.202279194625e+02,1.424814507077e+03,1.039283662813e+03,4.362705105247e+02,2.595507104320e+02,1.441777796308e+02,8.435242328533e+01
5.333902528219e+02,1.424819672348e+03,1.039303707144e+03,4.362853246261e+02,2.595600499970e+02,1.441830783910e+02,8.435554238963e+01
