t_over_theta,r
7.960398019901e-01,5.275695156784e-01
7.980399019951e-01,5.204799327993e-01
8.000400020001e-01,5.136884153669e-01
8.020401020051e-01,5.072773289225e-01
8.040402020101e-01,5.013332844197e-01
8.060403020151e-01,4.959449627031e-01
8.080404020201e-01,4.912002209126e-01
8.100405020251e-01,4.871825547208e-01
8.120406020301e-01,4.839671143718e-01
8.140407020351e-01,4.816166020645e-01
8.160408020401e-01,4.801774812503e-01
8.180409020451e-01,4.796769665606e-01
8.200410020501e-01,4.801212093050e-01
8.220411020551e-01,4.814949445649e-01
8.240412020601e-01,4.837626511257e-01
8.260413020651e-01,4.868710476721e-01
8.280414020701e-01,4.907525661287e-01
8.300415020751e-01,4.953293467386e-01
8.320416020801e-01,5.005172996857e-01
8.340417020851e-01,5.062298567023e-01
8.360418020901e-01,5.123811577573e-01
8.380419020951e-01,5.188885468192e-01
8.400420021001e-01,5.256743597297e-01
8.420421021051e-01,5.326670643849e-01
8.440422021101e-01,5.398018564853e-01
8.460423021151e-01,5.470208297791e-01
8.480424021201e-01,5.542728361086e-01
8.500425021251e-01,5.615131359895e-01
8.520426021301e-01,5.687029214385e-01
8.540427021351e-01,5.758087732798e-01
8.560428021401e-01,5.828020978860e-01
8.580429021451e-01,5.896585738147e-01
8.600430021501e-01,5.963576277770e-01
8.620431021551e-01,6.028819510079e-01
8.640432021601e-01,6.092170612907e-01
8.660433021651e-01,6.153509118991e-01
8.680434021701e-01,6.212735462168e-01
8.700435021751e-01,6.269767951489e-01
8.720436021801e-01,6.324540138875e-01
8.740437021851e-01,6.376998540619e-01
8.760438021901e-01,6.427100668035e-01
8.780439021951e-01,6.474813341458e-01
8.800440022001e-01,6.520111238676e-01
8.820441022051e-01,6.562975657162e-01
8.840442022101e-01,6.603393456212e-01
8.860443022151e-01,6.641356151088e-01
8.880444022201e-01,6.676859150004e-01
8.900445022251e-01,6.709901099771e-01
8.920446022301e-01,6.740483334570e-01
8.940447022351e-01,6.768609409786e-01
8.960448022401e-01,6.794284707845e-01
8.980449022451e-01,6.817516111180e-01
9.000450022501e-01,6.838311727608e-01
9.020451022551e-01,6.856680665041e-01
9.040452022601e-01,6.872632848114e-01
9.060453022651e-01,6.886178870664e-01
9.080454022701e-01,6.897329882557e-01
9.100455022751e-01,6.906097504600e-01
9.120456022801e-01,6.912493770421e-01
9.140457022851e-01,6.916531092919e-01
9.160458022901e-01,6.918222252946e-01
9.180459022951e-01,6.917580409931e-01
9.200460023001e-01,6.914619133346e-01
9.220461023051e-01,6.909352454408e-01
9.240462023101e-01,6.901794938548e-01
9.260463023151e-01,6.891961778798e-01
9.280464023201e-01,6.879868910632e-01
9.300465023251e-01,6.865533150003e-01
9.320466023301e-01,6.848972355682e-01
9.340467023351e-01,6.830205617183e-01
9.360468023401e-01,6.809253471813e-01
9.380469023451e-01,6.786138153080e-01
9.400470023501e-01,6.760883871983e-01
9.420471023551e-01,6.733517134607e-01
9.440472023601e-01,6.704067105096e-01
9.460473023651e-01,6.672566010262e-01
9.480474023701e-01,6.639049595246e-01
9.500475023751e-01,6.603557635281e-01
9.520476023801e-01,6.566134507984e-01
9.540477023851e-01,6.526829829292e-01
9.560478023901e-01,6.485699163498e-01
9.580479023951e-01,6.442804811036e-01
9.600480024001e-01,6.398216676621e-01
9.620481024051e-01,6.352013225770e-01
9.640482024101e-01,6.304282530789e-01
9.660483024151e-01,6.255123407981e-01
9.680484024201e-01,6.204646644484e-01
9.700485024251e-01,6.152976308421e-01
9.720486024301e-01,6.100251131127e-01
9.740487024351e-01,6.046625943983e-01
9.760488024401e-01,5.992273140603e-01
9.780489024451e-01,5.937384126350e-01
9.800490024501e-01,5.882170701231e-01
9.820491024551e-01,5.826866306133e-01
9.840492024601e-01,5.771727043118e-01
9.860493024651e-01,5.717032359954e-01
9.880494024701e-01,5.663085267493e-01
9.900495024751e-01,5.610211939264e-01
9.920496024801e-01,5.558760527636e-01
9.940497024851e-01,5.509099024511e-01
9.960498024901e-01,5.461612002070e-01
9.980499024951e-01,5.416696094872e-01
1.000050002500e+00,5.374754134999e-01
1.002050102505e+00,5.336187931949e-01
1.004050202510e+00,5.301389783496e-01
1.006050302515e+00,5.270732952144e-01
1.008050402520e+00,5.244561457786e-01
1.010050502525e+00,5.223179690600e-01
