alpha,d_c_R2,d_c_R5,d_c_R10
2.046617999392e-04,1.062104545981e-01,1.277048689840e-01,1.445616024287e-01
2.102531324863e-04,1.061810040451e-01,1.276114671141e-01,1.443526225466e-01
2.159972194783e-04,1.061507740867e-01,1.275157257240e-01,1.441388727197e-01
2.218982341459e-04,1.061197447868e-01,1.274175918145e-01,1.439202673446e-01
2.279604637319e-04,1.060878957367e-01,1.273170114773e-01,1.436967204228e-01
2.341883126059e-04,1.060552060459e-01,1.272139298952e-01,1.434681456199e-01
2.405863054644e-04,1.060216543330e-01,1.271082913427e-01,1.432344563295e-01
2.471590906179e-04,1.059872187165e-01,1.270000391887e-01,1.429955657399e-01
2.539114433680e-04,1.059518768052e-01,1.268891158989e-01,1.427513869036e-01
2.608482694772e-04,1.059156056888e-01,1.267754630408e-01,1.425018328109e-01
2.679746087326e-04,1.058783819288e-01,1.266590212891e-01,1.422468164671e-01
2.752956386074e-04,1.058401815489e-01,1.265397304325e-01,1.419862509719e-01
2.828166780230e-04,1.058009800255e-01,1.264175293821e-01,1.417200496040e-01
2.905431912128e-04,1.057607522785e-01,1.262923561812e-01,1.414481259074e-01
2.984807916924e-04,1.057194726613e-01,1.261641480162e-01,1.411703937830e-01
3.066352463379e-04,1.056771149522e-01,1.260328412299e-01,1.408867675817e-01
3.150124795755e-04,1.056336523444e-01,1.258983713355e-01,1.405971622028e-01
3.236185776862e-04,1.055890574369e-01,1.257606730331e-01,1.403014931947e-01
3.324597932271e-04,1.055433022253e-01,1.256196802274e-01,1.399996768589e-01
3.415425495745e-04,1.054963580924e-01,1.254753260475e-01,1.396916303584e-01
3.508734455903e-04,1.054481957994e-01,1.253275428688e-01,1.393772718278e-01
3.604592604165e-04,1.053987854767e-01,1.251762623368e-01,1.390565204882e-01
3.703069584005e-04,1.053480966153e-01,1.250214153924e-01,1.387292967638e-01
3.804236941544e-04,1.052960980578e-01,1.248629323004e-01,1.383955224025e-01
3.908168177536e-04,1.052427579903e-01,1.247007426793e-01,1.380551205987e-01
4.014938800764e-04,1.051880439336e-01,1.245347755339e-01,1.377080161188e-01
4.124626382901e-04,1.051319227355e-01,1.243649592899e-01,1.373541354302e-01
4.237310614869e-04,1.050743605628e-01,1.241912218313e-01,1.369934068312e-01
4.353073364732e-04,1.050153228937e-01,1.240134905398e-01,1.366257605846e-01
4.471998737181e-04,1.049547745105e-01,1.238316923373e-01,1.362511290521e-01
4.594173134636e-04,1.048926794927e-01,1.236457537305e-01,1.358694468314e-01
4.719685320018e-04,1.048290012102e-01,1.234556008587e-01,1.354806508940e-01
4.848626481239e-04,1.047637023172e-01,1.232611595434e-01,1.350846807255e-01
4.981090297453e-04,1.046967447464e-01,1.230623553419e-01,1.346814784654e-01
5.117173007115e-04,1.046280897034e-01,1.228591136027e-01,1.342709890492e-01
5.256973477902e-04,1.045576976619e-01,1.226513595243e-01,1.338531603498e-01
5.400593278542e-04,1.044855283596e-01,1.224390182168e-01,1.334279433196e-01
5.548136752609e-04,1.044115407936e-01,1.222220147660e-01,1.329952921323e-01
5.699711094326e-04,1.043356932178e-01,1.220002743012e-01,1.325551643243e-01
5.855426426450e-04,1.042579431400e-01,1.217737220655e-01,1.321075209350e-01
6.015395880275e-04,1.041782473200e-01,1.215422834891e-01,1.316523266458e-01
6.179735677828e-04,1.040965617682e-01,1.213058842654e-01,1.311895499180e-01
6.348565216305e-04,1.040128417451e-01,1.210644504310e-01,1.307191631277e-01
