delta,tanh_delta
1.236823397293e-01,1.230555055129e-01
1.258925411794e-01,1.252316432357e-01
1.281422388944e-01,1.274454315886e-01
1.304321386719e-01,1.296974768728e-01
1.327629589221e-01,1.319883926846e-01
1.351354308932e-01,1.343187998607e-01
1.375502989009e-01,1.366893264134e-01
1.400083205615e-01,1.391006074551e-01
1.425102670303e-01,1.415532851100e-01
1.450569232428e-01,1.440480084153e-01
1.476490881614e-01,1.465854332078e-01
1.502875750261e-01,1.491662219977e-01
1.529732116091e-01,1.517910438274e-01
1.557068404754e-01,1.544605741149e-01
1.584893192461e-01,1.571754944814e-01
1.613215208684e-01,1.599364925614e-01
1.642043338887e-01,1.627442617946e-01
1.671386627320e-01,1.655995011993e-01
1.701254279853e-01,1.685029151252e-01
1.731655666862e-01,1.714552129858e-01
1.762600326175e-01,1.744571089677e-01
1.794097966060e-01,1.775093217175e-01
1.826158468270e-01,1.806125740038e-01
1.858791891147e-01,1.837675923533e-01
1.892008472772e-01,1.869751066605e-01
1.925818634185e-01,1.902358497686e-01
1.960232982646e-01,1.935505570213e-01
1.995262314969e-01,1.969199657832e-01
2.030917620905e-01,2.003448149280e-01
2.067210086592e-01,2.038258442928e-01
2.104151098067e-01,2.073637940968e-01
2.141752244830e-01,2.109594043235e-01
2.180025323490e-01,2.146134140635e-01
2.218982341459e-01,2.183265608185e-01
2.258635520721e-01,2.220995797618e-01
2.298997301669e-01,2.259332029565e-01
2.340080347001e-01,2.298281585277e-01
2.381897545703e-01,2.337851697885e-01
2.424462017082e-01,2.378049543158e-01
2.467787114890e-01,2.418882229768e-01
2.511886431510e-01,2.460356789026e-01
2.556773802218e-01,2.502480164075e-01
2.602463309528e-01,2.545259198518e-01
2.648969287611e-01,2.588700624480e-01
2.696306326784e-01,2.632811050057e-01
2.744489278096e-01,2.677596946162e-01
2.793533257985e-01,2.723064632736e-01
2.843453653017e-01,2.769220264305e-01
2.894266124717e-01,2.816069814879e-01
2.945986614480e-01,2.863619062164e-01
2.998631348576e-01,2.911873571077e-01
