t_over_theta,r
3.450172508625e+00,8.220081831210e-01
3.460173008650e+00,8.174990323476e-01
3.470173508675e+00,8.129873866161e-01
3.480174008700e+00,8.084760692929e-01
3.490174508725e+00,8.039680545384e-01
3.500175008750e+00,7.994664730208e-01
3.510175508775e+00,7.949746174642e-01
3.520176008800e+00,7.904959479730e-01
3.530176508825e+00,7.860340970331e-01
3.540177008850e+00,7.815928741208e-01
3.550177508875e+00,7.771762698066e-01
3.560178008900e+00,7.727884592446e-01
3.570178508925e+00,7.684338049418e-01
3.580179008950e+00,7.641168586452e-01
3.590179508975e+00,7.598423622340e-01
3.600180009000e+00,7.556152474457e-01
3.610180509025e+00,7.514406342774e-01
3.620181009050e+00,7.473238279082e-01
3.630181509075e+00,7.432703139416e-01
3.640182009100e+00,7.392857518180e-01
3.650182509125e+00,7.353759662072e-01
3.660183009150e+00,7.315469362171e-01
3.670183509175e+00,7.278047822534e-01
3.680184009200e+00,7.241557503909e-01
3.690184509225e+00,7.206061941269e-01
3.700185009250e+00,7.171625534267e-01
3.710185509275e+00,7.138313310105e-01
3.720186009300e+00,7.106190658186e-01
3.730186509325e+00,7.075323037675e-01
3.740187009350e+00,7.045775658065e-01
3.750187509375e+00,7.017613134782e-01
3.760188009400e+00,6.990899122075e-01
3.770188509425e+00,6.965695925308e-01
3.780189009450e+00,6.942064097795e-01
3.790189509475e+00,6.920062025145e-01
3.800190009500e+00,6.899745503039e-01
3.810190509525e+00,6.881167314037e-01
3.820191009550e+00,6.864376809113e-01
3.830191509575e+00,6.849419501545e-01
3.840192009600e+00,6.836336679146e-01
3.850192509625e+00,6.825165042185e-01
3.860193009650e+00,6.815936373717e-01
3.870193509675e+00,6.808677248991e-01
3.880194009700e+00,6.803408789234e-01
3.890194509725e+00,6.800146465652e-01
3.900195009750e+00,6.798899957054e-01
3.910195509775e+00,6.799673065104e-01
3.920196009800e+00,6.802463687878e-01
3.930196509825e+00,6.807263853340e-01
3.940197009850e+00,6.814059811153e-01
3.950197509875e+00,6.822832181543e-01
3.960198009900e+00,6.833556157270e-01
3.970198509925e+00,6.846201754874e-01
3.980199009950e+00,6.860734109756e-01
3.990199509975e+00,6.877113809042e-01
4.000200010001e+00,6.895297256273e-01
4.010200510026e+00,6.915237060114e-01
4.020201010051e+00,6.936882441142e-01
4.030201510076e+00,6.960179649362e-01
4.040202010101e+00,6.985072385939e-01
4.050202510126e+00,7.011502223127e-01
4.060203010151e+00,7.039409016677e-01
4.070203510176e+00,7.068731305831e-01
4.080204010201e+00,7.099406696700e-01
4.090204510226e+00,7.131372225042e-01
4.100205010251e+00,7.164564696456e-01
4.110205510276e+00,7.198921000997e-01
4.120206010301e+00,7.234378401463e-01
4.130206510326e+00,7.270874794222e-01
4.140207010351e+00,7.308348942080e-01
4.150207510376e+00,7.346740680266e-01
4.160208010401e+00,7.385991095212e-01
4.170208510426e+00,7.426042677719e-01
4.180209010451e+00,7.466839451585e-01
4.190209510476e+00,7.508327079070e-01
4.200210010501e+00,7.550452945018e-01
4.210210510526e+00,7.593166221121e-01
4.220211010551e+00,7.636417912152e-01
4.230211510576e+00,7.680160885907e-01
4.240212010601e+00,7.724349888634e-01
4.250212510626e+00,7.768941547407e-01
4.260213010651e+00,7.813894361307e-01
4.270213510676e+00,7.859168682661e-01
4.280214010701e+00,7.904726689897e-01
4.290214510726e+00,7.950532353340e-01
4.300215010751e+00,7.996551394883e-01
4.310215510776e+00,8.042751242964e-01
4.320216010801e+00,8.089100983540e-01
4.330216510826e+00,8.135571308071e-01
4.340217010851e+00,8.182134459339e-01
4.350217510876e+00,8.228764175545e-01
4.360218010901e+00,8.275435633577e-01
4.370218510926e+00,8.322125391762e-01
4.380219010951e+00,8.368811332617e-01
4.390219510976e+00,8.415472606029e-01
4.400220011001e+00,8.462089573046e-01
4.410220511026e+00,8.508643750694e-01
4.420221011051e+00,8.555117757941e-01
4.430221511076e+00,8.601495263027e-01
4.440222011101e+00,8.647760932295e-01
4.450222511126e+00,8.693900380603e-01
4.460223011151e+00,8.739900123435e-01
4.470223511176e+00,8.785747530732e-01
4.480224011201e+00,8.831430782494e-01
4.490224511226e+00,8.876938826167e-01
4.500225011251e+00,8.922261335804e-01
4.510225511276e+00,8.967388672994e-01
4.520226011301e+00,9.012311849541e-01
4.530226511326e+00,9.057022491850e-01
4.540227011351e+00,9.101512806992e-01
4.550227511376e+00,9.145775550397e-01
4.560228011401e+00,9.189803995121e-01
4.570228511426e+00,9.233591902655e-01
4.580229011451e+00,9.277133495197e-01
4.590229511476e+00,9.320423429349e-01
4.600230011501e+00,9.363456771180e-01
4.610230511526e+00,9.406228972585e-01
4.620231011551e+00,9.448735848909e-01
4.630231511576e+00,9.490973557756e-01
4.640232011601e+00,9.532938578932e-01
4.650232511626e+00,9.574627695493e-01
4.660233011651e+00,9.616037975807e-01
4.670233511676e+00,9.657166756612e-01
