alpha,p_star_Pa,R_star_W0.25,R_star_W1,R_star_W4
4.719685320018e-04,1.088991396600e+06,1.933375049693e+01,3.069041587732e+01,4.871799844900e+01
4.848626481239e-04,1.118756925681e+06,1.887783291500e+01,2.996669182814e+01,4.756915813200e+01
4.981090297453e-04,1.149336444711e+06,1.843266077215e+01,2.926002510028e+01,4.644739462481e+01
5.117173007115e-04,1.180752236113e+06,1.799798079321e+01,2.857001364444e+01,4.535206971394e+01
5.256973477902e-04,1.213027193520e+06,1.757354567275e+01,2.789626488774e+01,4.428256022878e+01
5.400593278542e-04,1.246184838610e+06,1.715911393441e+01,2.723839551033e+01,4.323825768703e+01
5.548136752609e-04,1.280249338411e+06,1.675444979348e+01,2.659603122732e+01,4.221856794843e+01
5.699711094326e-04,1.315245523079e+06,1.635932302276e+01,2.596880657581e+01,4.122291087680e+01
5.855426426450e-04,1.351198904177e+06,1.597350882155e+01,2.535636470695e+01,4.025072000991e+01
6.015395880275e-04,1.388135693462e+06,1.559678768779e+01,2.475835718292e+01,3.930144223717e+01
6.179735677828e-04,1.426082822189e+06,1.522894529311e+01,2.417444377865e+01,3.837453748498e+01
6.348565216305e-04,1.465067960960e+06,1.486977236094e+01,2.360429228829e+01,3.746947840939e+01
6.522007154819e-04,1.505119540121e+06,1.451906454740e+01,2.304757833613e+01,3.658575009609e+01
6.700187503510e-04,1.546266770726e+06,1.417662232503e+01,2.250398519211e+01,3.572284976743e+01
6.883235715100e-04,1.588539666091e+06,1.384225086932e+01,2.197320359156e+01,3.488028649635e+01
7.071284778943e-04,1.631969063944e+06,1.351575994778e+01,2.145493155926e+01,3.405758092708e+01
7.264471317641e-04,1.676586649194e+06,1.319696381179e+01,2.094887423763e+01,3.325426500236e+01
7.462935686310e-04,1.722424977338e+06,1.288568109085e+01,2.045474371894e+01,3.246988169718e+01
7.666822074546e-04,1.769517498524e+06,1.258173468939e+01,1.997225888152e+01,3.170398475871e+01
7.876278611187e-04,1.817898582277e+06,1.228495168606e+01,1.950114522983e+01,3.095613845241e+01
8.091457471930e-04,1.867603542928e+06,1.199516323529e+01,1.904113473822e+01,3.022591731412e+01
8.312514989891e-04,1.918668665748e+06,1.171220447124e+01,1.859196569851e+01,2.951290590797e+01
8.539611769186e-04,1.971131233817e+06,1.143591441401e+01,1.815338257101e+01,2.881669859001e+01
8.772912801613e-04,2.025029555643e+06,1.116613587802e+01,1.772513583919e+01,2.813689927740e+01
9.012587586526e-04,2.080402993562e+06,1.090271538260e+01,1.730698186766e+01,2.747312122311e+01
9.258810253974e-04,2.137291992925e+06,1.064550306467e+01,1.689868276359e+01,2.682498679580e+01
9.511759691219e-04,2.195738112114e+06,1.039435259343e+01,1.650000624134e+01,2.619212726498e+01
9.771619672696e-04,2.255784053399e+06,1.014912108715e+01,1.611072549029e+01,2.557418259126e+01
1.003857899354e-03,2.317473694659e+06,9.909669031849e+00,1.573061904581e+01,2.497080122144e+01
1.031283160672e-03,2.380852122002e+06,9.675860201929e+00,1.535947066324e+01,2.438163988850e+01
1.059457676401e-03,2.445965663298e+06,9.447561582655e+00,1.499706919484e+01,2.380636341633e+01
1.088401916069e-03,2.512861922666e+06,9.224643294484e+00,1.464320846970e+01,2.324464452898e+01
1.118136908429e-03,2.581589815920e+06,9.006978519161e+00,1.429768717637e+01,2.269616366448e+01
1.148684256738e-03,2.652199607035e+06,8.794443427567e+00,1.396030874839e+01,2.216060879300e+01
1.180066154448e-03,2.724742945626e+06,8.586917109262e+00,1.363088125241e+01,2.163767523932e+01
1.212305401338e-03,2.799272905498e+06,8.384281503692e+00,1.330921727896e+01,2.112706550949e+01
1.245425420069e-03,2.875844024285e+06,8.186421333019e+00,1.299513383589e+01,2.062848912156e+01
1.279450273208e-03,2.954512344212e+06,7.993224036524e+00,1.268845224420e+01,2.014166244029e+01
1.314404680709e-03,3.035335454013e+06,7.804579706574e+00,1.238899803638e+01,1.966630851579e+01
1.350314037870e-03,3.118372532043e+06,7.620381026077e+00,1.209660085719e+01,1.920215692595e+01
1.387204433786e-03,3.203684390610e+06,7.440523207431e+00,1.181109436667e+01,1.874894362255e+01
1.425102670303e-03,3.291333521577e+06,7.264903932899e+00,1.153231614553e+01,1.830641078105e+01
1.464036281489e-03,3.381384143250e+06,7.093423296394e+00,1.126010760275e+01,1.787430665388e+01
1.504033553638e-03,3.473902248622e+06,6.925983746635e+00,1.099431388532e+01,1.745238542723e+01
1.545123545824e-03,3.568955654974e+06,6.762490031646e+00,1.073478379016e+01,1.704040708115e+01
1.587336111010e-03,3.666614054912e+06,6.602849144558e+00,1.048136967806e+01,1.663813725302e+01
1.630701917737e-03,3.766949068853e+06,6.446970270692e+00,1.023392738970e+01,1.624534710418e+01
1.675252472408e-03,3.870034299019e+06,6.294764735889e+00,9.992316163643e+00,1.586181318977e+01
1.721020142175e-03,3.975945384983e+06,6.146145956057e+00,9.756398556195e+00,1.548731733152e+01
1.768038178457e-03,4.084760060804e+06,6.001029387907e+00,9.526040363255e+00,1.512164649372e+01
1.816340741098e-03,4.196558213812e+06,5.859332480850e+00,9.301110543932e+00,1.476459266191e+01
1.865962923182e-03,4.311421945084e+06,5.720974630030e+00,9.081481145994e+00,1.441595272458e+01
1.916940776533e-03,4.429435631660e+06,5.585877130463e+00,8.867027233063e+00,1.407552835759e+01
1.969311337907e-03,4.550685990565e+06,5.453963132254e+00,8.657626813536e+00,1.374312591135e+01
2.023112655897e-03,4.675262144678e+06,5.325157596872e+00,8.453160771171e+00,1.341855630061e+01
