t_over_theta,r
3.859392969648e+00,9.197418357869e-01
3.859792989649e+00,9.197676204351e-01
3.860193009650e+00,9.197933975410e-01
3.860593029651e+00,9.198191671520e-01
3.860993049652e+00,9.198449293159e-01
3.861393069653e+00,9.198706840807e-01
3.861793089654e+00,9.198964314945e-01
3.862193109655e+00,9.199221716057e-01
3.862593129656e+00,9.199479044627e-01
3.862993149657e+00,9.199736301142e-01
3.863393169658e+00,9.199993486089e-01
3.863793189659e+00,9.200250599956e-01
3.864193209660e+00,9.200507643234e-01
3.864593229661e+00,9.200764616412e-01
3.864993249662e+00,9.201021519981e-01
3.865393269663e+00,9.201278354433e-01
3.865793289664e+00,9.201535120259e-01
3.866193309665e+00,9.201791817951e-01
3.866593329666e+00,9.202048448002e-01
3.866993349667e+00,9.202305010908e-01
3.867393369668e+00,9.202561507161e-01
3.867793389669e+00,9.202817937255e-01
3.868193409670e+00,9.203074301684e-01
3.868593429671e+00,9.203330600940e-01
3.868993449672e+00,9.203586835516e-01
3.869393469673e+00,9.203843005902e-01
3.869793489674e+00,9.204099112591e-01
3.870193509675e+00,9.204355156072e-01
3.870593529676e+00,9.204611136834e-01
3.870993549677e+00,9.204867055365e-01
3.871393569678e+00,9.205122912152e-01
3.871793589679e+00,9.205378707680e-01
3.872193609680e+00,9.205634442434e-01
3.872593629681e+00,9.205890116895e-01
3.872993649682e+00,9.206145731543e-01
3.873393669683e+00,9.206401286858e-01
3.873793689684e+00,9.206656783316e-01
3.874193709685e+00,9.206912221391e-01
3.874593729686e+00,9.207167601555e-01
3.874993749687e+00,9.207422924279e-01
3.875393769688e+00,9.207678190029e-01
3.875793789689e+00,9.207933399271e-01
3.876193809690e+00,9.208188552466e-01
3.876593829691e+00,9.208443650074e-01
3.876993849692e+00,9.208698692551e-01
3.877393869693e+00,9.208953680350e-01
3.877793889694e+00,9.209208613922e-01
3.878193909695e+00,9.209463493713e-01
3.878593929696e+00,9.209718320167e-01
3.878993949697e+00,9.209973093723e-01
3.879393969698e+00,9.210227814819e-01
3.879793989699e+00,9.210482483886e-01
3.880194009700e+00,9.210737101354e-01
3.880594029701e+00,9.210991667648e-01
3.880994049702e+00,9.211246183187e-01
3.881394069703e+00,9.211500648390e-01
3.881794089704e+00,9.211755063668e-01
3.882194109705e+00,9.212009429428e-01
3.882594129706e+00,9.212263746076e-01
3.882994149707e+00,9.212518014008e-01
3.883394169708e+00,9.212772233620e-01
3.883794189709e+00,9.213026405301e-01
3.884194209710e+00,9.213280529434e-01
3.884594229711e+00,9.213534606399e-01
3.884994249712e+00,9.213788636570e-01
3.885394269713e+00,9.214042620315e-01
3.885794289714e+00,9.214296558000e-01
3.886194309715e+00,9.214550449984e-01
3.886594329716e+00,9.214804296620e-01
3.886994349717e+00,9.215058098257e-01
3.887394369718e+00,9.215311855236e-01
3.887794389719e+00,9.215565567894e-01
3.888194409720e+00,9.215819236561e-01
3.888594429721e+00,9.216072861564e-01
3.888994449722e+00,9.216326443221e-01
3.889394469723e+00,9.216579981845e-01
3.889794489724e+00,9.216833477744e-01
3.890194509725e+00,9.217086931218e-01
3.890594529726e+00,9.217340342562e-01
3.890994549727e+00,9.217593712065e-01
3.891394569728e+00,9.217847040009e-01
3.891794589729e+00,9.218100326670e-01
3.892194609730e+00,9.218353572316e-01
3.892594629731e+00,9.218606777212e-01
3.892994649732e+00,9.218859941612e-01
3.893394669733e+00,9.219113065766e-01
3.893794689734e+00,9.219366149918e-01
3.894194709735e+00,9.219619194303e-01
3.894594729736e+00,9.219872199150e-01
3.894994749737e+00,9.220125164682e-01
3.895394769738e+00,9.220378091114e-01
3.895794789739e+00,9.220630978655e-01
3.896194809740e+00,9.220883827506e-01
3.896594829741e+00,9.221136637861e-01
3.896994849742e+00,9.221389409908e-01
3.897394869743e+00,9.221642143828e-01
3.897794889744e+00,9.221894839792e-01
3.898194909745e+00,9.222147497966e-01
3.898594929746e+00,9.222400118510e-01
3.898994949747e+00,9.222652701574e-01
3.899394969748e+00,9.222905247303e-01
3.899794989749e+00,9.223157755833e-01
3.900195009750e+00,9.223410227292e-01
3.900595029751e+00,9.223662661804e-01
3.900995049752e+00,9.223915059481e-01
3.901395069753e+00,9.224167420432e-01
3.901795089754e+00,9.224419744755e-01
3.902195109755e+00,9.224672032542e-01
3.902595129756e+00,9.224924283877e-01
3.902995149757e+00,9.225176498837e-01
3.903395169758e+00,9.225428677492e-01
3.903795189759e+00,9.225680819905e-01
3.904195209760e+00,9.225932926128e-01
3.904595229761e+00,9.226184996209e-01
3.904995249762e+00,9.226437030187e-01
3.905395269763e+00,9.226689028094e-01
3.905795289764e+00,9.226940989954e-01
3.906195309765e+00,9.227192915784e-01
3.906595329766e+00,9.227444805592e-01
3.906995349767e+00,9.227696659380e-01
3.907395369768e+00,9.227948477143e-01
3.907795389769e+00,9.228200258866e-01
3.908195409770e+00,9.228452004528e-01
3.908595429771e+00,9.228703714102e-01
