R_m,alpha,tension_Pa,compression_Pa
4.753999782561e+00,1.552062089131e-05,0.000000000000e+00,1.356446656693e+07
5.013825197157e+00,1.552062089131e-05,0.000000000000e+00,1.277249798269e+07
5.287851126931e+00,1.552062089131e-05,0.000000000000e+00,1.202674901108e+07
5.576853687767e+00,1.552062089131e-05,0.000000000000e+00,1.132452241948e+07
5.881651413438e+00,1.552062089131e-05,0.000000000000e+00,1.066327838364e+07
6.203107573913e+00,1.552062089131e-05,0.000000000000e+00,1.004062530176e+07
6.542132620377e+00,1.552062089131e-05,0.000000000000e+00,9.454311144418e+06
6.899686763872e+00,1.552062089131e-05,0.000000000000e+00,8.902215309473e+06
7.276782694877e+00,1.552062089131e-05,0.000000000000e+00,8.382340952198e+06
7.674488451523e+00,1.552062089131e-05,0.000000000000e+00,7.892807763042e+06
8.093930444567e+00,1.552062089131e-05,0.000000000000e+00,7.431845166864e+06
8.536296647692e+00,1.552062089131e-05,0.000000000000e+00,6.997785919037e+06
9.002839962173e+00,1.552062089131e-05,0.000000000000e+00,6.589060075266e+06
9.494881765433e+00,1.552062089131e-05,0.000000000000e+00,6.204189313308e+06
1.001381565354e+01,1.552062089131e-05,0.000000000000e+00,5.841781586065e+06
1.056111138827e+01,1.552062089131e-05,0.000000000000e+00,5.500526086690e+06
1.113831905982e+01,1.552062089131e-05,0.000000000000e+00,5.179188507521e+06
1.174707347714e+01,1.552062089131e-05,0.000000000000e+00,4.876606575677e+06
1.238909879816e+01,1.552062089131e-05,0.000000000000e+00,4.591685849175e+06
1.306621341299e+01,1.552062089131e-05,0.000000000000e+00,4.323395758365e+06
1.378033509421e+01,1.552062089131e-05,0.000000000000e+00,4.070765878362e+06
1.453348642843e+01,1.552062089131e-05,0.000000000000e+00,3.832882418994e+06
